show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,25-09-2021,2020,PG-13,90 min,Documentaries
s3,TV Show,Ganglands,Julien Leclercq,France,24-09-2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s6,TV Show,Midnight Mass,Mike Flanagan,United States,24-09-2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,22-09-2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies"
s8,Movie,Sankofa,Haile Gerima,United States,24-09-2021,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies"
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,24-09-2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV"
s10,Movie,The Starling,Theodore Melfi,United States,24-09-2021,2021,PG-13,104 min,"Comedies, Dramas"
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,01-05-2021,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals"
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,23-09-2021,2021,TV-MA,127 min,"Dramas, International Movies"
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,01-05-2021,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals"
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,01-05-2021,2014,TV-Y7,76 min,"Children & Family Movies, Comedies"
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,01-05-2021,2013,TV-Y7,71 min,"Children & Family Movies, Comedies"
s852,Movie,99 Songs (Tamil),Not Given,Pakistan,21-05-2021,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals"
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,13-07-2021,2021,TV-14,39 min,Movies
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,12-06-2021,2021,TV-MA,36 min,Movies
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,12-06-2021,2021,TV-MA,34 min,Movies
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,07-05-2021,2021,TV-14,35 min,Comedies
s4,TV Show,Jailbirds New Orleans,Not Given,Pakistan,24-09-2021,2021,TV-MA,1 Season,"Docuseries, Reality TV"
s15,TV Show,Crime Stories: India Detectives,Not Given,Pakistan,22-09-2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,26-11-2019,2019,TV-Y,46 min,Children & Family Movies
s4832,TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,15-06-2018,2018,TV-Y,1 Season,Kids' TV
s4833,TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,15-06-2018,2018,TV-Y,1 Season,Kids' TV
s4857,TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,18-05-2018,2018,TV-Y,1 Season,Kids' TV
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Not Given,24-09-2021,2021,PG,91 min,Children & Family Movies
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,23-09-2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given,22-09-2021,2020,TV-MA,67 min,"Documentaries, International Movies"
s7930,Movie,Samudri Lootere,Anirban Majumder,Not Given,18-06-2019,2018,TV-Y,65 min,Children & Family Movies
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,22-09-2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,21-09-2021,2021,TV-Y,61 min,Children & Family Movies
s25,Movie,Jeans,S. Shankar,India,21-09-2021,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies"
s28,Movie,Grown Ups,Dennis Dugan,United States,20-09-2021,2010,PG-13,103 min,Comedies
s29,Movie,Dark Skies,Scott Stewart,United States,19-09-2021,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy"
s30,Movie,Paranoia,Robert Luketic,United States,19-09-2021,2013,PG-13,106 min,Thrillers
s20,TV Show,Jaguar,Not Given,Pakistan,22-09-2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
s32,TV Show,Chicago Party Aunt,Not Given,Pakistan,17-09-2021,2021,TV-MA,1 Season,TV Comedies
s34,TV Show,Squid Game,Not Given,Pakistan,17-09-2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
s35,TV Show,Tayo and Little Wizards,Not Given,Pakistan,17-09-2021,2020,TV-Y7,1 Season,Kids' TV
s75,TV Show,The World's Most Amazing Vacation Rentals,Not Given,Pakistan,14-09-2021,2021,TV-PG,2 Seasons,Reality TV
s84,TV Show,Metal Shop Masters,Not Given,Pakistan,10-09-2021,2021,TV-MA,1 Season,Reality TV
s86,TV Show,Pokémon Master Journeys: The Series,Not Given,Pakistan,10-09-2021,2021,TV-Y7,1 Season,"Anime Series, Kids' TV"
s88,TV Show,Titipo Titipo,Not Given,Pakistan,10-09-2021,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows"
s90,TV Show,Mighty Raju,Not Given,Pakistan,09-09-2021,2017,TV-Y7,4 Seasons,Kids' TV
s101,TV Show,Tobot Galaxy Detectives,Not Given,Pakistan,07-09-2021,2019,TV-Y7,2 Seasons,Kids' TV
s122,TV Show,Hotel Del Luna,Not Given,Pakistan,02-09-2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s133,TV Show,Brave Animated Series,Not Given,Pakistan,01-09-2021,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies"
s148,TV Show,How to Be a Cowboy,Not Given,Pakistan,01-09-2021,2021,TV-PG,1 Season,Reality TV
s166,TV Show,Oldsters,Not Given,Pakistan,01-09-2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s190,TV Show,Bread Barbershop,Not Given,Pakistan,28-08-2021,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies"
s182,TV Show,Turning Point: 9-11 and the War on Terror,Not Given,Pakistan,01-09-2021,2021,TV-14,1 Season,Docuseries
s187,TV Show,Hometown Cha-Cha-Cha,Not Given,Pakistan,29-08-2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s188,TV Show,The Ingenuity of the Househusband,Not Given,Pakistan,29-08-2021,2021,TV-G,1 Season,"International TV Shows, TV Comedies"
s27,Movie,Minsara Kanavu,Rajiv Menon,India,21-09-2021,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals"
s19,Movie,Intrusion,Adam Salky,Not Given,22-09-2021,2021,TV-14,94 min,Thrillers
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given,21-09-2021,1996,TV-PG,161 min,"Comedies, International Movies"
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,17-09-2021,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies"
